timestamp,magnitude,depth,location
2024-06-09 01:13:09,4.8,69.3,San Francisco
2024-10-01 13:54:37,3.2,65.7,San Diego
2024-05-28 23:37:57,8.0,89.8,Los Angeles
2024-08-09 10:22:11,3.7,96.6,Tehran
2024-10-06 21:43:12,5.1,47.5,San Diego
2024-09-26 15:09:21,6.0,13.3,Rome
2024-02-17 03:22:12,6.6,7.8,Berlin
2024-11-29 07:05:47,4.2,45.2,Los Angeles
2024-05-20 14:45:27,7.8,9.1,San Diego
2024-02-22 13:45:57,8.2,86.7,Mexico City
2024-01-04 22:30:23,5.1,20.4,San Diego
2024-06-06 15:14:08,5.6,58.7,Los Angeles
2024-04-28 10:14:53,7.9,96.1,Shanghai
2024-06-25 09:31:45,4.3,25.5,Delhi
2024-11-30 09:30:32,8.1,99.4,Los Angeles
2024-03-14 03:41:38,5.4,85.9,Tehran
2024-07-16 13:20:07,4.0,68.4,Fresno
2024-05-21 13:50:42,4.5,15.1,Rome
2024-07-18 11:37:52,5.6,38.7,San Diego
2024-02-05 03:42:04,4.0,10.7,Mexico City
2024-10-30 08:29:52,5.7,86.2,San Diego
2024-02-02 13:04:31,8.6,57.4,Los Angeles
2024-06-19 22:00:44,6.7,74.2,San Francisco
2024-06-30 17:16:45,5.0,64.6,Los Angeles
2024-05-09 07:27:42,3.9,76.1,Tokyo
2024-08-23 11:59:16,5.7,17.8,Fresno
2024-08-02 05:29:48,6.4,75.2,Istanbul
2024-07-02 09:24:22,7.3,16.2,Lima
2024-07-12 14:37:42,6.3,76.7,Paris
2024-04-11 04:47:09,4.6,50.4,Fresno
2024-06-05 14:54:45,4.0,9.8,San Francisco
2024-11-15 13:18:03,5.2,10.8,Fresno
2024-04-11 22:50:05,7.5,26.6,Sacramento
2024-07-15 15:46:06,6.5,43.0,Shanghai
2024-03-29 08:58:08,8.1,15.2,San Diego
2024-03-12 05:40:45,3.7,9.9,Paris
2024-10-20 08:26:03,8.1,57.1,San Francisco
2024-03-01 17:07:01,7.2,37.2,San Diego
2024-09-10 03:29:07,5.4,77.6,Sacramento
2024-05-01 19:36:50,8.7,6.5,Jakarta
2024-11-28 00:05:17,5.7,32.1,Fresno
2024-10-30 23:48:56,5.5,52.7,Istanbul
2024-09-09 21:54:56,3.2,60.7,Fresno
2024-05-04 10:37:21,7.6,10.5,San Francisco
2024-03-25 05:12:49,7.6,61.6,Los Angeles
2024-10-18 01:51:55,6.7,13.7,Los Angeles
2024-02-01 15:24:05,4.4,13.3,San Diego
2024-10-16 00:04:27,3.2,18.9,Sacramento
2024-06-16 15:18:17,6.8,38.9,Paris
2024-03-27 13:03:10,5.7,32.4,Tehran
2024-05-03 22:22:40,6.5,55.0,Los Angeles
2024-01-02 10:18:48,5.5,76.4,Sacramento
2024-05-25 16:06:31,7.5,31.7,San Francisco
2024-09-16 15:38:20,5.3,53.0,Jakarta
2024-06-26 21:15:39,5.2,76.1,Los Angeles
2024-01-16 03:15:11,4.3,21.2,Istanbul
2024-08-11 17:29:47,7.6,77.0,Los Angeles
2024-04-18 19:41:55,7.7,62.5,Santiago
2024-09-20 11:49:42,3.4,93.6,Berlin
2024-11-30 18:16:56,5.6,6.2,Lima
2024-08-18 12:43:06,3.2,48.7,Los Angeles
2024-09-22 15:52:15,8.0,10.3,Los Angeles
2024-12-19 03:52:05,8.5,31.7,Sacramento
2024-04-15 22:18:55,3.2,6.9,Lima
2024-10-13 17:12:49,4.6,26.2,Los Angeles
2024-06-23 10:23:53,7.7,12.2,Istanbul
2024-02-01 05:14:29,7.8,49.8,New York
2024-10-05 04:10:09,3.0,57.6,Fresno
2024-09-22 08:23:45,7.7,41.7,Sacramento
2024-02-18 03:22:42,4.1,20.2,Los Angeles
2024-08-29 10:44:14,4.0,26.8,Sacramento
2024-04-02 07:40:44,5.9,41.6,San Francisco
2024-11-02 06:54:31,3.7,34.6,New York
2024-12-14 18:23:39,8.5,36.9,Lima
2024-07-25 03:56:31,8.6,12.7,Lima
2024-08-27 19:11:57,4.5,53.1,Lima
2024-07-04 02:45:34,4.0,7.1,Mexico City
2024-09-05 09:48:26,3.9,5.1,Lima
2024-02-26 03:53:33,7.6,44.4,San Francisco
2024-02-20 22:47:43,3.5,44.4,Moscow
2024-04-24 04:07:12,3.6,85.6,Los Angeles
2024-11-23 17:04:56,4.2,29.5,Fresno
2024-11-03 10:55:12,3.7,24.2,Los Angeles
2024-11-13 16:03:16,6.3,75.3,San Diego
2024-08-29 18:04:58,4.6,5.7,San Diego
2024-08-20 20:55:44,3.4,62.1,Mexico City
2024-08-26 16:25:59,7.4,68.1,San Francisco
2024-03-02 23:24:27,3.7,68.9,Delhi
2024-12-30 17:00:47,4.9,13.5,San Francisco
2024-09-16 00:36:07,4.2,12.3,Mexico City
2024-09-21 08:20:29,8.8,13.9,Manila
2024-10-30 09:22:18,3.2,52.5,Fresno
2024-09-13 02:43:04,8.0,9.0,Los Angeles
2024-05-03 18:02:10,7.1,50.6,Los Angeles
2024-05-04 15:17:01,3.6,58.2,San Francisco
2024-03-03 11:00:05,3.2,56.0,San Francisco
2024-08-05 08:12:38,3.5,42.4,Fresno
2024-03-09 20:29:24,6.2,75.2,Manila
2024-04-20 11:36:54,5.3,16.8,Moscow
2024-03-02 00:47:09,4.1,39.6,Fresno
2024-12-02 02:47:00,7.5,77.4,Lima
2024-05-14 05:27:47,7.0,28.5,San Diego
2024-11-22 17:30:31,4.9,85.7,San Francisco
2024-02-23 00:02:10,3.1,45.1,Lima
